213.39.142.61 1196104884 
213.39.142.61 1196105036 
85.97.47.71 1196105227 
213.39.142.61 1196106440 
213.39.142.61 1196106440 
213.39.202.245 1196114761 
213.39.202.245 1196114871 http://jamaica-fuchs.com/junkjet/
213.39.202.245 1196114877 
213.39.159.207 1196114883 
213.39.202.245 1196114902 
213.39.202.245 1196114903 http://jamaica-fuchs.com/junkjet/
213.39.202.245 1196114921 http://freemee.de/junkjet/
213.39.202.245 1196115001 
213.39.181.10 1196117277 http://jamaica-fuchs.com/junkjet/
213.39.181.10 1196117278 
213.39.181.10 1196117360 http://jamaica-fuchs.com/junkjet/
213.39.181.10 1196117362 

###########################################################
HIT IP             TIME        REFERRER
###########################################################


284 213.39.134.123 1196127638  
285 213.39.134.123 1196127639  
286 213.39.159.207 1196127652 http://freemee.de/junkjet/test2.php?now=1196126707&domain=213.39.159.207&point.x=99&point.y=99 
287 213.39.134.123 1196127668 http://freemee.de/junkjet/index.php?status=added 
288 213.39.134.123 1196127675  
289 213.39.159.207 1196127679 http://freemee.de/junkjet/test2.php?now=1196126707&domain=213.39.159.207&point.x=99&point.y=99 
290 213.39.159.207 1196127688 http://freemee.de/junkjet/test2.php?now=1196126707&domain=213.39.159.207&point.x=99&point.y=99 
291 213.39.134.123 1196127688 http://freemee.de/junkjet/index.php?status=added 
292 213.39.134.123 1196127695  
293 213.39.159.207 1196127754 http://freemee.de/junkjet/test2.php?now=1196126707&domain=213.39.159.207&point.x=99&point.y=99 
294 213.39.134.123 1196127864 http://freemee.de/ 
295 213.39.134.123 1196127871  

107 213.39.134.123 1196128324  
109 213.39.134.123 1196128356  
110 213.39.134.123 1196128366  
111 213.39.134.123 1196128382 http://girl.tv/freemee/ 
114 213.39.134.123 1196128418 http://girl.tv/freemee/ 
115 213.39.134.123 1196128427  
116 213.39.159.207 1196128439 http://freemee.de/junkjet/test2.php?now=1196126707&domain=213.39.159.207&point.x=99&point.y=99 
117 212.12.52.52 1196128439  
118 212.12.52.52 1196128460  
119 212.12.52.52 1196128464  
120 212.12.52.52 1196128469  
121 213.39.134.123 1196128478 http://girl.tv/freemee/index.php 
122 212.12.52.52 1196128558  
123 212.12.52.52 1196128571  
124 212.12.52.52 1196128593  
125 212.12.52.52 1196128596  
126 212.12.52.52 1196128608  
127 213.39.134.123 1196128754 http://jamaica-fuchs.com/junkjet/ 
128 88.72.215.186 1196128759 http://jamaica-fuchs.com/junkjet/ 
129 213.39.134.123 1196128765 http://www.freemee.de/junkjet/test2.php?now=1196128754&domain=213.39.134.123&point.x=81&point.y=63 
130 88.72.215.186 1196128787 http://jamaica-fuchs.com/junkjet/ 
131 213.39.134.123 1196128797  
132 213.39.134.123 1196128797  
133 213.39.134.123 1196128804  
134 213.39.134.123 1196128814 http://jamaica-fuchs.com/junkjet/ 
135 213.39.134.123 1196128825 http://jamaica-fuchs.com/junkjet/ 
136 213.39.134.123 1196128835 http://freemee.de/junkjet/test2.php?now=1196128825&domain=213.39.134.123&point.x=76&point.y=124 
137 88.72.215.186 1196128842 http://freemee.de/junkjet/test2.php?now=1196128787&domain=88.72.215.186&point.x=85&point.y=63 
138 213.39.134.123 1196128843  
139 212.12.52.52 1196128901  
147 213.39.134.123 1196129386 http://jamaica-fuchs.com/junkjet/ 
149 213.39.134.123 1196129389  
150 213.39.134.123 1196129395  
175 213.39.159.207 1196132531  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
217 213.39.228.238 1196135405  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
79 213.39.228.238 1196136974 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
80 213.39.228.238 1196136981 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
81 213.39.228.238 1196136985 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
82 213.39.228.238 1196136987 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
83 213.39.228.238 1196136988 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
84 213.39.228.238 1196137466 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
85 213.39.228.238 1196137497 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
86 213.39.228.238 1196137508 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
87 213.39.228.238 1196137509 http://freemee.de/junkjet/index.php Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
88 213.39.228.238 1196137528  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
89 213.39.228.238 1196137555  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
90 213.39.228.238 1196137556  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
91 213.39.228.238 1196137557  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
92 213.39.228.238 1196137557  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
93 213.39.228.238 1196137558  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
94 213.39.228.238 1196137558  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
95 213.39.228.238 1196137558  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
